text_content,text_length,emotion,misspellings,label,source
"""Heidi Cruz, Ted’s wife, is managing director of Goldman Sachs. They oversee the Texas utilities.""",15,neutral,3,0,politifact_json
"Monkeypox is biological warfare ""against us by our governments.""",9,disgust,3,0,politifact_json
"""We're the only major oil-producing nation in the world with a self-imposed ban on exporting our crude oil to other nations.""",21,neutral,5,1,politifact_json
"""A Florida judge ruled parts of Obamacare unconstitutional.""",8,anger,3,1,politifact_json
"""So far this year, more students have been killed in schools than soldiers in combat zones.""",16,sadness,2,1,politifact_json
"Say Nancy Pelosi’s net worth is $196,299,990.",7,neutral,3,0,politifact_json
"The budget currently being debated ""significantly decreases the use of one-time resources.""",12,neutral,3,1,politifact_json
"""One of the other inaccuracies ... is that we have raised taxes multiple times and run up the budget. Absolutely not true. One tax increase since I’ve been in office. It was a quarter mill tax in the unincorporated area only.""",41,neutral,5,0,politifact_json
"It's ""not true"" that since he's been the president, executions in Iran have increased by four times.",17,neutral,3,0,politifact_json
Say easing restrictions on selling alcohol on Sundays will result in more traffic crashes and fatalities.,16,sadness,0,0,politifact_json
"""Democrats just elected (include)… a man who preys on underage prostitutes … and an anti-semitic racist who beats women.""",19,disgust,4,0,politifact_json
"""Overwhelming Democrat and Republican votes"" in 2011 for legislation in two special sessions on jobs demonstrated the bipartisan nature of the Wisconsin Legislature.",23,neutral,2,0,politifact_json
"""To deprive"" underprivileged children ""of a meat-based protein during school lunch is most likely depriving them of their only source of protein for the day.""",25,disgust,3,0,politifact_json
"""Handel endorsed gay adoption"" in 2003 when she was running for chairwoman of the Fulton County Commission.",17,neutral,2,0,politifact_json
"""We have to recognize that our salaries for faculty are the lowest in New England with the exception of the University of Maine.""",23,neutral,2,1,politifact_json
"Research from Japan shows ""ivermectin is effective against omicron in Phase III trial.""",13,neutral,4,0,politifact_json
"""I led the fight to require the Coast Guard to buy their engines from us, not foreign companies.""",18,neutral,2,0,politifact_json
"Says Gov. Scott Walker ""raises the pay of inmates, but we don't raise the pay of staff in our correctional institutions.""",21,neutral,3,0,politifact_json
Suzanne Bonamici votes with her party a partisan 98 percent of the time.,13,neutral,1,0,politifact_json
"A New York law makes it ""now perfectly legal to murder"" a baby a minute before it would be born.",20,neutral,2,0,politifact_json
"Gas prices have gone up 99 percent since Obama became president, ""the highest gas price increase since Carter.""",18,surprise,2,0,politifact_json
"""DEP has 2,812 employees, the lowest level since the mid-’80s.""",10,neutral,7,0,politifact_json
"The IRS is ""going to be in charge of our health care.""",12,neutral,3,0,politifact_json
"""This year West Virginia produced more AmeriCorps members than any other state.""",12,neutral,3,1,politifact_json
"""I've taken on the federal government and won.""",8,neutral,3,1,politifact_json
"""Unlike the gridlock in Washington, more than 80 percent of the bills we passed during this General Assembly had bipartisan support.""",21,neutral,2,1,politifact_json
"""The ice caps were going to melt, they were going to be gone by now, but now they’re setting records, so okay, they’re at a record level.""",27,neutral,3,0,politifact_json
"""Barack Obama asked Ukraine to investigate his political rival's campaign manager, 3 Democrat senators asked Ukraine to investigate Trump, and the DNC solicited Ukraine's help to dig up dirt on Trump.""",31,anger,4,0,politifact_json
"Says 1,000 people failed gun background checks in Wisconsin in 2018, but ""almost none of them were prosecuted for trying to do a background check and illegally buy a weapon.""",30,neutral,3,1,politifact_json
"""Registered Republican not allowed to vote.""",6,neutral,2,0,politifact_json
"Says Bernie Sanders ""is the most popular politician in America today.""",11,neutral,2,1,politifact_json
"""On (Rob Portman's) watch as Bush's trade czar, our deficit with China exploded"" and ""as Bush's budget chief, Portman oversaw a spending spree that doubled the deficit.""",27,disgust,4,0,politifact_json
"Says Dontre Hamilton, who was killed during a confrontation with a Milwaukee police officer, was ""unarmed.""",16,fear,3,1,politifact_json
"""How do Jeb Bush and Donald Trump differ on immigration? Spoiler alert: They don't.""",14,neutral,4,0,politifact_json
"""The income tax that started at 2 percent under Governor Byrne is now 9 percent.""",15,neutral,3,0,politifact_json
"Adam Laxalt ""wants to restrict"" and ""worked to limit access to birth control.""",13,anger,3,1,politifact_json
"""Obamacare takes $500 billion out of Medicare and funds Obamacare.""",10,neutral,3,0,politifact_json
"""Over half of the black workers in this country earn less"" than $15 an hour.",15,neutral,2,1,politifact_json
"Says the national health care law puts federal ""bureaucrats between an American citizen and her doctor.""",16,neutral,2,0,politifact_json
"Says John Wayne said, ""If you don’t want an American flag flying in your town square or at your school, then why the hell are you living in the US?""",30,anger,3,0,politifact_json
"When Obama was interviewed by American reporters in Asia, ""Not one of them asked me about Asia. Not one of them asked me about the economy.""",26,disgust,2,0,politifact_json
"Twenty million Americans are ""out of work.""",7,sadness,2,0,politifact_json
"""David Cicilline was the state representative who opposed tough mandatory sentences for those convicted of domestic violence  and child abuse.""",20,disgust,3,1,politifact_json
"Says Adolf Hitler ""didn't even sink to the level of using chemical weapons. ... He was not using the gas on his own people the same way that (Bashar al-)Assad is doing.""",32,disgust,7,0,politifact_json
"Texas is ""50th in the nation in mental health care access.""",11,neutral,3,1,politifact_json
"Quotes Ronald Reagan as saying, ""Keep voting Democrat ... One day they will restrict your freedoms, restrict your history and restrict your safety. All in the name of professional victims that don't understand the consequences of their ignorance.""",38,neutral,4,0,politifact_json
"""Nobody's addicted to"" marijuana.",4,neutral,3,0,politifact_json
"""It’s not that there’s a virus shield between Canada (4,500 deaths) and the U.S. (80,000 deaths). What exists is a difference in leadership.""",23,neutral,6,0,politifact_json
"Says that ""unlike Texas, Missouri has a perfect AAA credit rating.""",11,neutral,3,1,politifact_json
"""Austin’s the fastest-growing city in the country the last five years.""",11,surprise,4,1,politifact_json
"Democrats in the 1930s wanted President Franklin Roosevelt ""to be more conservative.""",12,neutral,3,0,politifact_json
"""Texas has launched ‘Operation Lone Star’ to finish the border wall themselves.""",12,neutral,4,0,politifact_json
"""The president has exploded the debt by more than $3 trillion — all to give billion-dollar tax cuts to the wealthiest few.""",22,disgust,4,0,politifact_json
"Says Sen. Luther Olsen, his recall opponent, supported the sale of state-owned power plants ""not to the highest bidder, but to the biggest donors"" with no oversight.",27,disgust,4,0,politifact_json
"""Ford is moving all of their small-car production to Mexico.""",10,neutral,3,1,politifact_json
"""At least 10 ISIS fighters have been caught coming across the Mexican border in Texas"" and there are ""dozens more that did not get caught by the Border Patrol.""",29,neutral,2,0,politifact_json
"""The geography of poverty has changed fundamentally in the last 15 years,"" with more of it concentrated in fragile and conflict states.",22,neutral,2,1,politifact_json
"Says Joe Biden’s Democratic National Convention speech ""had to be taped in segments, and the segments had to be edited together.""",21,neutral,3,0,politifact_json
"""Military arrests former President George W. Bush.""",7,anger,2,0,politifact_json
"Says 50 percent of millennials don’t associate with ""any political party.""",11,neutral,4,0,politifact_json
"""In the last two years, I have supported and proposed $155 billion worth of targeting cuts. Dr. Gingrey has presented zero.""",21,neutral,4,0,politifact_json
"Says that during his eight years as Florida governor, ""we created 1.3 million net new jobs -- more jobs created than Texas.""",22,neutral,3,1,politifact_json
Says Mitt Romney asked for a waiver from federal welfare rules.,11,neutral,0,0,politifact_json
"Says the health care reform bill was paid for, in part, by taking money from students and the student loan system.",21,neutral,0,0,politifact_json
"""Missouri still owes $60 million on bonds issued to build the 23-year-old Edward Jones Dome, the former home of the St. Louis Rams.""",23,neutral,4,0,politifact_json
"""Right now, our corrections department charges taxpayers between $30,000 and $40,000 a year per person we lock up,"" she said. ""That’s actually cheap when you compare us to the rest of the country.""",33,neutral,5,0,politifact_json
"Says he will pursue change in federal law to protect employees from ""extortion from a union"" because ""the Supreme Court has ruled that federal prohibitions outlawing extortion usually do not apply to unions.""",33,neutral,2,0,politifact_json
"""Of the states that have a lieutenant governor, many are currently discussing the need for such an obsolete office.""",19,neutral,2,0,politifact_json
"In 1993, Newt Gingrich ""first advocated for the individual mandate in health care. And as recently as May of this year, he was still advocating"" for it.",27,neutral,2,1,politifact_json
"David Dewhurst has a ""record of promoting an income tax.""",10,neutral,3,0,politifact_json
"""I certainly supported Barack Obama and Joe Biden. ... I was there both times for them.""",16,neutral,3,0,politifact_json
"""134,000 (criminal) aliens have been released by the (Obama) administration in just the past two years.""",16,neutral,3,0,politifact_json
"""No doctors who went to an American medical school will be accepting Obamacare.""",13,neutral,3,0,politifact_json
"Says if Texas abortion measure passes, ""someone living in El Paso would have to drive 550 miles each way to San Antonio for something as simple as cervical cancer screening.""",30,neutral,3,0,politifact_json
"""The McCarran-Walter Act of 1952 bans Muslims from holding public office in the United States.""",15,neutral,3,0,politifact_json
Seventy-five percent of the young adults in this country are not mentally or physically fit to serve.,17,neutral,1,1,politifact_json
Says Barack Obama has played over 90 rounds of golf as president.,12,neutral,0,1,politifact_json
"29 states still don’t have ""comprehensive protections"" for people in the LGBTQ community.",13,neutral,4,1,politifact_json
"""We've done more tests in eight days than South Korea has done in eight weeks.""",15,neutral,3,0,politifact_json
"George Allen ""voted to end Pell Grants for 84,000 students.""",10,neutral,4,1,politifact_json
"The DREAM Act the ""would give amnesty to over two million illegal aliens.""",13,neutral,2,0,politifact_json
"""I cast the deciding vote extending Medicaid health care coverage to 50,000 of our fellow citizens,""",16,neutral,3,0,politifact_json
"""The expiration of the Bush-era tax cuts ... would be the biggest tax increase in the history of the country, about $4.6 trillion over 10 years.""",26,neutral,4,0,politifact_json
"Barack Obama voted against ""born alive"" legislation in Illinois that was ""virtually identical to the federal law.""",17,neutral,2,1,politifact_json
"Says U.S. Rep. Stephen Fincher ""breaks earmark pledge.""",8,neutral,5,0,politifact_json
"""Estimates say individuals who escaped these high tax states have taken with them around $2 trillion in adjusted gross income.""",20,neutral,2,0,politifact_json
Photo shows Kim Jong Un’s weight loss,7,neutral,3,0,politifact_json
"Says Russ Feingold ""formed his own political group to pay himself and his staff millions.""",15,disgust,3,0,politifact_json
"""How is a misogynist bigot of epic proportions (like U.S. Rep. Steven Smith) allowed to serve?""",16,disgust,4,0,politifact_json
"Says Mitt Romney said ""we are going to have to live with high gas prices, it's a good thing because it will reduce consumption, we don't want to produce any more gasoline.""",32,neutral,4,0,politifact_json
"Says Jonathan Gruber was ""some adviser who never worked on our staff.""",12,neutral,3,0,politifact_json
"""Barack Obama's nominee for 'regulatory czar' has advocated a 'Fairness Doctrine' for the Internet"" that would require links to opposing opinions.",21,neutral,5,0,politifact_json
"When Mitt Romney was governor of Massachusetts, he ""stood in front of a coal plant and pointed at it and said, ‘This plant kills.’""",24,disgust,4,1,politifact_json
"Ranked-choice voting ""increases voter turnout and voter engagement.""",8,neutral,3,0,politifact_json
"Says Gov. John  Kasich incorrectly claimed Ohio’s economy was 38th in the nation when he took office. ""We were sixth in the nation in terms of economic job growth.""",29,neutral,5,0,politifact_json
"""Out of 860 bills (Sen. Bill Nelson has) introduced in Congress, only 10 have passed.""",15,neutral,3,0,politifact_json
"Ryan Sitton’s company ""accepted over $650,000 in Obama stimulus dollars.""",10,neutral,5,0,politifact_json
Says withdrawing troops from Afghanistan could save the U.S. $50 billion.,11,sadness,1,0,politifact_json
"""Gas in North Carolina increased 14 cents per gallon this past week, the highest in the nation.""",17,neutral,2,1,politifact_json
"Seniors with coverage under Medicare Advantage will give up ""more than their share"" because of health care reform",18,sadness,2,0,politifact_json
Says Fox News gave Republican senators twice the air time as Democrats during a hearing about the Islamic State.,19,neutral,0,1,politifact_json
"John McCain wants to ""give oil companies another $4-billion"" in tax breaks.",12,neutral,3,1,politifact_json
"Says the photo ID law passed by North Carolina lawmakers is ""one of the nation’s most lenient voter ID laws.""",20,neutral,3,0,politifact_json
"Says the Atlanta mayor is ""shutting the city down for"" the NBA All-Star Game weekend.",15,anger,4,0,politifact_json
"Says ex-Lt. Gov. Evelyn Sanguinetti ""publicly did not stand in opposition to"" former Gov. Bruce Rauner’s decision to sign a bill that expanded the public funding of abortions in Illinois.",30,sadness,6,0,politifact_json
"""Dems Pass Bill to Vaccinate Children Without Parental Knowledge, Consent.""",10,neutral,3,0,politifact_json
"Pictures and reports of ""empty hospitals"" prove COVID-19 spread is ""fake crisis for real government planned agendas.""",17,disgust,3,0,politifact_json
"""We have been confronted with an unexpected storm that has hit the metropolitan area.""",14,surprise,2,0,politifact_json
"""Taxpayers even footed the bill for Perry’s trip to a bachelor party in Las Vegas.""",15,neutral,4,0,politifact_json
"""Walmart rewards everyone with $75 coupon to celebrate its 125th Anniversary""",11,neutral,3,0,politifact_json
"""More than half of all black children live in single-parent households, a number that has doubled — doubled — since we were children.""",23,neutral,4,1,politifact_json
"Says Donald Trump promised ""to take care of everybody (through government-run healthcare and) the government's going to pay for it.""",20,neutral,4,0,politifact_json
"""I've traveled the country advocating for the FairTax ...""",9,neutral,5,0,politifact_json
"Says she will ""work to raise the federal minimum wage back to the highest level it’s ever been — $12 an hour in today’s dollars.""",25,neutral,4,0,politifact_json
"The United Nations’ ""new world order"" agenda will create one world government with one world military and the end of national sovereignty.",22,neutral,3,0,politifact_json
"Says Barack Obama has ""the worst record of any president when it comes to putting America deeper in debt.""",19,disgust,2,0,politifact_json
"""The price tag amounted to nearly $4,200 for every man, woman and child in the state.""",16,neutral,3,0,politifact_json
"""NAFTA, signed by Bill Clinton, has been a disaster for Pennsylvania.""",11,disgust,3,0,politifact_json
"Says Republicans Mitt Romney and Paul Ryan support ""massive cuts in Social Security for future generations.""",16,sadness,2,0,politifact_json
"Voting-rights legislation proposed by Democrats in Congress called H.R. 1 ""would force states to restore the voting rights of convicted felons—including violent felons convicted of murder or rape.""",28,anger,5,0,politifact_json
"Says signers of recall petitions against Wisconsin Gov. Scott Walker are at risk because of newly ""discovered"" provisions in state law.",21,fear,2,0,politifact_json
"The Republican-authored state budget includes a provision ""forcing people earning as little as $12,000 to buy private health insurance that could cost them as much as $4,000 per year.""",29,neutral,5,0,politifact_json
"""Joe Biden says Americans can only celebrate the Fourth of July if he says so.""",15,neutral,2,0,politifact_json
"Says Sarah Huckabee Sanders tweeted, ""It’s ‘odd’ that the ANTIFA insurgency happened just as COVID-19 loses steam It’s ‘odd’ that COVID-19 happened the moment impeachment failed. It’s ‘odd’ that impeachment happened the moment Russian hoax failed. The Russian hoax happened because Hillary lost? Notice the pattern?""",46,neutral,7,0,politifact_json
"Says House Democrats leading the impeachment inquiry are ""denying President Trump basic fairness and due process accorded every American.""",19,anger,2,0,politifact_json
"Chinese workers made ""90,000 banners"" for Trump’s 2020 re-election campaign and the president chose to hire ""Chinese workers instead of American workers""",22,neutral,5,0,politifact_json
"Raising the national minimum wage to $15 per hour ""would destroy up to 3.7 million jobs.""",16,anger,2,0,politifact_json
"Hillary Clinton was against setting a deadline for withdrawal, but now she wants a ""precipitous withdrawal"" regardless of ""conditions on the ground"" or ""consequences of a defeat for the United States,"" an RNC radio ad.",35,neutral,3,0,politifact_json
"Says Texas GOP platform calls for end to teaching ""critical thinking"" in public schools.",14,anger,3,0,politifact_json
"""At the PEAK of slavery in 1860, only 1.4% of Americans owned slaves. What your history books (don't) tell you is that 3,000 blacks owned a total of 20,000 slaves the same year.""",33,neutral,5,0,politifact_json
"On Virginia’s new marijuana law: ""You can have up to one pound with only a $25 fine.""",17,neutral,3,1,politifact_json
"""FDA finally admits dental fillings are toxic.""",7,disgust,3,0,politifact_json
"The projected $1.8 billion state budget shortfall for 2015-’17 ""actually comes from an assumption based on zero growth. That just doesn’t happen.""",22,neutral,5,0,politifact_json
Says Gov. Bob McDonnell's budget would cut pre-kindergarten programs.,9,sadness,2,0,politifact_json
"""People haven't had a raise -- 90 percent of Americans have not had a raise for 40 years.""",18,neutral,4,0,politifact_json
"""The Taliban went after and murdered"" people identified in the Chelsea Manning leaks.",13,disgust,2,0,politifact_json
"""Nobody is leaving Memphis. That's a myth.""",7,neutral,3,0,politifact_json
"""Corona is so bad, this guy died twice!""",8,disgust,2,0,politifact_json
"Says ""when I voted against [an increase in the minimum wage], it was in the 80s.""",16,neutral,3,0,politifact_json
"Says Alexandria Ocasio-Cortez tweeted, ""Let’s begin ‘The Purge’ to roundup all Conservative traitors.""",13,fear,5,0,politifact_json
"Says Goodwill used the pandemic ""to fire all of their employees instead of laying them off.""",16,neutral,2,0,politifact_json
"""I come from the poorest ZIP code in San Antonio.""",10,neutral,2,1,politifact_json
"""Maxine Waters just introduced a bill to re-name Memorial Day — George Floyd Day.""",14,neutral,4,0,politifact_json
"""100% of heroin/fentanyl epidemic is because we don't have a WALL.""",11,neutral,4,0,politifact_json
"""Trump supporters tackled an Antifa thug, unmasked him, duct taped him to an electrical box.""",15,disgust,3,0,politifact_json
"A ""regulatory thing"" means you can’t show someone drinking beer on camera.",12,disgust,3,1,politifact_json
"""Apple has just announced it plans to invest a total of $350 billion in America, and hire another 20,000 workers.""",20,neutral,3,0,politifact_json
"""CORONAVIRUS: Reports of 10,000 DEAD in Wuhan, China.""",8,sadness,4,0,politifact_json
"Says President Barack Obama ""has taken less vacation days than any other president in a generation,"" while Congress ""has taken more vacation days than any other Congress in history.""",29,neutral,2,0,politifact_json
"Says that U.S. Sen. Marco Rubio says troops are leaving Iraq ""too fast.""",13,sadness,5,1,politifact_json
"The cap-and-trade bill will mean ""2 million jobs lost.""",9,sadness,3,0,politifact_json
"Veterans should vote Republican ""because the damn Democrats blocked the VA Healthcare bill again.""",14,anger,2,0,politifact_json
"Says his amendment on a budget bill ""would have helped get kids back in school after teachers were vaccinated. Every single Senate Democrat voted against it.""",26,neutral,2,0,politifact_json
Queens voters received pre-marked ballots for Joe Biden.,8,neutral,1,0,politifact_json
"Matt Dolan sponsored Michael Bloomberg's ""red-flag gun confiscation law, letting the people reporting your social media posts send SWAT teams to your house to take your guns.""",27,fear,6,0,politifact_json
"""America is No. 1 in wind power.""",7,neutral,2,1,politifact_json
"Congressman Jeff Denham ""has agreed all illegal immigrants should be detained, arrested and deported.""",14,anger,2,0,politifact_json
"In the past decade, K-12 funding has grown six times faster than the rate of enrollment.",16,neutral,1,0,politifact_json
"""We began seeing the increase in unaccompanied minors going back to last April 2020. This is not something that happened as a result of Joe Biden becoming president.""",28,neutral,2,0,politifact_json
"Says Hitler said, ""This year will go down in history. For the first time, a civilized nation has full gun registration! Our streets will be safer, our police more efficient, and the world will follow our lead into the future!""",40,neutral,2,0,politifact_json
Says Louie Anderson was flying to appear on Conan O’Brien’s show when he became ill a few weeks after receiving his third vaccine dose.,24,sadness,2,0,politifact_json
"In economic growth, ""Obama's best year was slower than Bill Clinton's worst year.""",13,disgust,3,1,politifact_json
"The transportation tax is regressive, and Emory University is ""literally getting its own transit line at virtually no cost to itself.""",21,disgust,2,0,politifact_json
"""The candidates controlled by Madigan, all of them have said, ‘The answer to our problems is a massive income tax hike.’ """,22,neutral,5,0,politifact_json
"Says Donald Trump ""has a long history of exporting jobs overseas.""",11,neutral,2,0,politifact_json
"""Studies have shown Latinos are more than 40 percent less likely to call 911 when they have been a victim of a crime.""",23,neutral,2,1,politifact_json
"""Mike Lee advised Trump's legal challenges to overturn our election"" and ""was one of only two senators who was in on the scheme.""",23,neutral,3,0,politifact_json
