clean_text,label,emotion
fourteen million american mortgage greater value home,1,neutral
say wisconsin payday loan 574 average annual interest rate exploitative lending keep american trapped debt,1,neutral
86 language spoken miami dade college,1,neutral
new york city wasting taxpayer money billboard florida,0,disgust
amendment pushed lyndon johnson many year ago threatens religious institution loss tax exempt status openly advocate political view,1,fear
boil orange peel wit cayenne pepper stand pot breathe steam mucus release yo nasal mucus problem virus life,0,disgust
turkey today weigh 29 pound 30 weighed 13 pound,1,neutral
150 000 tenured teacher last 10 year 17 dismissed incompetence,1,neutral
mask negative impact 68 child,0,disgust
2008 charlie crist applauded pick sarah palin said would great job,1,joy
every day 34 american murdered gun,1,sadness
's candidate fight national catastrophe fund reduce insurance rate,1,neutral
say nsa data collection every member party served intelligence committee voted favor,1,neutral
according wikipedia five country entire planet unequal united state distribution wealth,1,neutral
say abraham lincoln said america never destroyed outside lose freedom destroyed within,0,neutral
bernie sander never taken corporate lobbyist money entire political career,0,neutral
cap trade legislation originally republican idea,1,neutral
say rep mimi walter vote donald trump 99 percent time,1,neutral
woman killed jan capitol assault shot secret service agent capitol police,0,sadness
say john kennedy said go heaven life treated negro inferior god look white response,0,neutral
estimated million economic loss hour shutting border 're talking million million dollar billion dollar economic consequence continue rhetoric around shutting border without considering mean,1,neutral
state hit hardest opioid death opioid prescription resident,1,neutral
ticketmaster planning mandatory covid vaccine identification concert attendance,0,neutral
're paying state residential facility hundred thousand dollar house child state custody,1,neutral
say united state trade much developed nation,1,neutral
say kkk marched mebane trump 's victory,0,neutral
turnout may 14th percent lowest turnout decade,1,neutral
election worker brag destroying trump ballot rip ballot djt video,0,disgust
say associated press wrong report income inequality grew largest 50 year new census report four measure income inequality shrunk reversing rise past five decade,0,neutral
charlie crist elected governor florida ranked 31st 12 education last year went 31st 14 year top 10 america,0,neutral
1908 model earned better gas mileage typical suv sold 2008,1,neutral
prevent terror suspect boarding airplane fbi n't power block buying dynamite ak 47,1,fear
fairfax county requiring last four digit social security number absentee ballot election,0,neutral
spent trillion trillion trillion middle east,0,neutral
many urban area across country saw sharp increase crime last year philadelphia police department successfully lowered part one crime,1,neutral
91 percent latino support dream act allows undocumented youth attend college marco rubio opposes,1,neutral
economic growth obama 's best year slower bill clinton 's worst year,1,disgust
david perdue support common core,0,neutral
trump administration fired 54 scientist cut 77 grant fauci 's nih disclosing tie communist china,0,anger
virginia lagged behind state come covid 19 testing,1,neutral
jan insurrection nov,0,anger
number democrat running governor want cut prison population 50 would require release thousand violent felon,0,anger
three court found new health care law constitutional two found unconstitutional,1,anger
n't car plant built year decade actually many plant built throughout united state,0,neutral
say trillion offshore money coming back economy gop tax bill,0,sadness
georgia 12 school shooting two year since mass killing sandy hook elementary school state,0,fear
breaking shep smith canned ca n't control hate donald trump,0,disgust
republican candidate governor ken block fined admit funneled money illegally moderate party,1,disgust
bill delaying start class labor day would permit school district shave full week school year,1,neutral
say republican house member texas rob mccaskill tweeted ca n't wait next 11,0,sadness
say north carolina republican senate candidate thom tillis called obamacare great idea,0,neutral
federal judge said president barack obama 's executive action immigration unconstitutional,1,anger
say damascus disincorporation would produce significant tax saving,0,neutral
say 94 percent wisconsin employer think state heading right direction majority say grow company 2012,0,neutral
arizona trooper found 50 000 ballot dumpster president trump,0,surprise
tougher standard holding toy gun manufacturer seller account real gun,0,neutral
cdc power extend eviction moratorium,0,neutral
democrat n't want anything protecting people eviction,0,neutral
person film burning 80 trump ballot,0,disgust
foreign policy joe biden aid vietnam said fall shah step forward human right iran opposed reagan 's defense build voted first gulf war,1,disgust
biden responsible ending genocide bosnia,0,disgust
withdrew june 2008 poll showing least 40 percent supporter said oh n't going support sen obama,1,sadness
's coming nobody stop train,0,fear
say image pile needle nancy pelosi 's congressional district san francisco,0,disgust
say sen elizabeth warren life million mansion,0,neutral
say joe biden tweeted consulted instagram 's ceo take page electionleaks supposedly video proof using hidden earpiece tonight 's debate slander true,0,anger
say wisconsin gov scott walker 's budget call raising property tax nearly 500 billion,0,neutral
say unchecked democratic majority trenton responsible year diversion state 's unemployment insurance trust fund,0,neutral
300 000 baby born deformed every year country woman alcoholic 're carrying child term,0,neutral
80 percent american people n't gotten pay raise since crash,1,neutral
never called john mccain loser,0,neutral
frank guinta voted make middle class taxpayer pay 000 year tax,0,neutral
count death red state number two world death behind brazil,1,neutral
say gov rick scott returned million federal funding would helped state cover cost overseeing insurance rate new health care law,1,neutral
covid 19 induced pneumonia actually mast cell degranulation lung type allergic reaction,0,neutral
manufacturing battery one electric car produce amount carbon dioxide running petrol car eight year,0,neutral
thanks act 10 collective bargaining law took effect four year ago act score wisconsin second best country state half kid take exam,0,neutral
say state senate president stephen sweeney gave u nation 's highest income tax rate driving job,0,neutral
barack obama reversed commitment begin withdrawing american troop iraq immediately,0,neutral
girl scout support planned parenthood pro abortion politician,0,neutral
russia diversity governmental representation texas,0,neutral
jeff greene moved california florida last two year fact would legally allowed run statewide office lived long enough meet residency requirement,1,neutral
newt gingrich suggested building mirror system space could improve earth 's habitability,1,neutral
say president barack obama delivered billion brazil help offshore drilling project,0,sadness
2011 example united kingdom 146 death due gun violence denmark 71 portugal 142 japan 30 last year united state almost 40 000,1,neutral
say barack obama said keep talking economy 're going lose,0,neutral
say mitt romney paid 14 percent tax probably less,0,neutral
economy actually shrank last three month 2012,1,neutral
watch news colorado horror sympathy family remember day 80 american killed gunfire unnecessary tragedy,0,fear
new york state democrat blocked bill expanding college tuition gold star family approving aid illegal immigrant,1,anger
congress passed another huge pork filled spending bill democrat allowed less day read 400 page stuffed nearly 10 000 earmark costing 10 billion dollar,0,neutral
gov kay ivey gave nearly million taxpayer money liberal activist organization promotes alternative lifestyle transgenderism,0,neutral
minnesota imposed islamic anti blasphemy law,0,disgust
biden administration bringing amendment would propose nation earth cede sovereignty national health care decision,0,neutral
say joe biden abandoned scranton,0,sadness
say hillary clinton promised raise tax trillion dollar,0,neutral
since 2009 tax income nearly 14 percent,1,neutral
lifespan average american less people nation spend far less health care put bluntly spend die sooner,1,neutral
number inmate since 2000 death row dying natural cause surpassed number inmate executed,1,neutral
gate foundation stand make nearly 31 billion coronavirus vaccine,0,joy
national study 500 charter school show maybe 20 percent better community public school 40 percent worse rest significant difference,1,disgust
democrat already agreed deal republican wanted eric cantor said would win,1,neutral
federal government made investment science technology inventing product led creation google,1,neutral
saw father march martin luther king,0,fear
currently using around 20 testing capacity,0,neutral
democratic congress already taken significant step create job jump start economy resulting lowest tax rate 50 year creation 500 000 new job far year,0,neutral
say wisconsin governor ended welfare,1,neutral
say scott walker favor cutting 350 000 family child health care,0,neutral
say amazon removed educational game gettysburg,0,neutral
hillary clinton 's state department actually admonished one ambassador n't using proper server,1,disgust
balanced budget 1997 balanced budget act ultimately four consecutive balanced budget,1,neutral
new jersey 's governor cut billion public education handing billion corporate tax break entire previous decade,1,neutral
say texas last worker compensation coverage,1,sadness
gov bob mcdonnell launched raid public education pay road,1,fear
aig executive took junket 400 000 twice,0,neutral
member senate republican democrat consistently voted effort use called nuclear option change rule senate,1,neutral
mccain called less regulation 21 time year,1,neutral
say jeb bush charlie crist signed legislation let duke energy collect money nuclear project,1,neutral
say hillary clinton want increase syrian refugee country 550 percent,1,neutral
new gas tax increase road capacity anywhere state build new lane freeway californian n't like traffic 're going like even less 're stuck exact traffic paying gas,0,neutral
six 10 richest county united state surround washington,1,neutral
capitol rotunda actually made invite people accommodate protest,1,neutral
're 49th united state new business created,1,neutral
say army spending million sponsor nascar team,1,neutral
according international olympic committee data average 29 athlete age 35 suffered sudden death per year 1966 2004 march 2021 march 2022 769 athlete died suffered cardiac arrest,0,fear
gap rich everyone else america wider today time since 1920s,1,neutral
congressman phil roe hand 3m government check federal program voted,1,disgust
justice department taken 100 voting right case since 2009,0,neutral
bundy ranch deal nevada sen harry reid using federal violence take people 's land state package sell chinese,0,neutral
job opening people unemployment 60 job opening today month pandemic hit state texas,1,neutral
wisconsin created 100 000 job since took office,0,neutral
sanctuary city extremely dangerous,0,fear
death astroworld festival part satanic ritual,0,disgust
american troop never formal control another nation,0,neutral
single largest expense half american household child care,0,neutral
key issue including tax health care green new deal abortion gun daylight bernie sander joe biden,0,neutral
seventy percent missourian support voter photo id legislation,1,neutral
soviet chinese communist grabbed control entertainment movie television music academia 12 education news medium,0,neutral
say know candidate voted,0,neutral
provision senate immigration bill would require government permission get second job,0,neutral
last year actually year may saw new jersey transit fare rise anywhere 25 percent 47 percent,1,neutral
since day election 've already cut illegal immigration southern border 61 percent,1,neutral
republican proposing pay giant tax cut rich gutting medicare medicaid,0,disgust
nothing current state public record law prohibits sensitive confidential business information confidential,1,neutral
say mitt romney flip flopped taxpayer protection pledge,1,sadness
approving constitutional amendment illinois november ballot would let politician immediately implement plan increase tax small business farmer large employer,0,neutral
five endangered hospital country north carolina,0,neutral
united state 100th voter turnout among industrialized nation texas near bottom term voter registration voter turnout,1,neutral
say president donald trump took month allocate congress emergency funding tribe tribe sued,1,neutral
democrat compare infrastructure program stimulus eisenhower interstate program proposed 500 billion highway system 're going put 30 billion road bridge,1,neutral
almost halfway goal 000 rape prosecuted,1,anger
florida 49th nation come medicaid funding people disability,1,neutral
2008 54 percent latino texas registered vote 35 percent actually turned,1,neutral
joe biden resigned white house,0,surprise
president obama 's proposal call serious cut long term carbon emission china india still allowed increase emission,1,neutral
galveston texas allowed people privatize part social security people building wealth,1,neutral
40 100 house delegate seat go uncontested every year 40 percent state senate seat go uncontested every year,1,neutral
transcript released occidental college prof barack obama indonesian citizen,0,neutral
50 people house state senate born virginia,1,neutral
bush tax cut helped create substantial part deficit,1,neutral
say donald trump 's plan repeal estate tax would mean walmart walton family would get 53 billion tax break,0,neutral
right georgia nearly one three leaving prison convicted within three year,1,neutral
regarding surgery saved jimmy kimmel 's son medicaid stopped providing kind service,0,neutral
unemployment rate philadelphia metro area lowest level ever recorded,1,neutral
asked year ago whether could see lifting cap payroll tax mccain said could today 's attacking holding position,1,anger
kyle rittenhouse armed person crossing state line came kenosha protest 2020,0,disgust
've lived milwaukee 61 year life,0,neutral
say sued obama 's epa seven time,1,neutral
trillion trillion infrastructure deficit 've got work need get done 've got people want go work,1,neutral
're spending less money today upcoming fiscal year 2014 corzine buono budget spent fiscal year 2008,1,neutral
opportunity scholarship act would funded directly public school budget would absolutely take money public school system transfer private religious school,1,neutral
texas agriculture 98 percent efficiency water use maxed conservation end,0,neutral
provided least 16 tax cut small business,1,neutral
say adam putnam endorsed schumer obama gang eight immigration amnesty,1,neutral
altered photo say barack obama want texan private data via health care,1,neutral
federal debt 14 trillion almost equal size entire economy every child born today inherits 45 000 share national debt take first breath,1,neutral
barack obama left announced socialist united state senate,0,neutral
say 10 oregon 's inmate prison violent crime serious sex offense,1,disgust
're paying state sen diane allen 's health care took away,0,anger
republican party fought hard '60s get civil right bill passed well voting right bill,1,neutral
nothing done mean 25 million spent n't gun ownership database,0,neutral
florida shelled money drug testing saved denying welfare benefit people tested positive drug,1,neutral
average minimum wage worker 35 year old,0,neutral
say secret john doe criminal investigation campaign resolved two judge said,0,neutral
texas senate approved bill put special label insurance card anyone bought plan obamacare includes letter subsidy,0,neutral
53 million week coming across border drug,1,disgust
february john mccain suggested bergdahl taliban swap call outrageous dangerous,1,anger
say chris christie told donald trump interrupt joe biden debate people overcome stuttering harder time maintaining train thought interrupted keep interrupting 'll stumble try speak enforce senile narrative,0,neutral
say lewis wrote believed blindly everything heard read paper gave freedom,0,anger
barack obama second democrat last 75 year win ohio twice 50 percent vote,1,neutral
say 6th hard dollar raised cash hand governor john kasich chris christie combined,1,neutral
photo showed brick everywhere kenosha kyle rittenhouse trial,0,neutral
say sen jon tester took income raise omnibus bill,0,neutral
bill nelson voted billion wasteful spending earmark like bridge nowhere,1,neutral
poorest country woman,1,disgust
undocumented worker crossing border right 12 year low,1,neutral
spend money lobbying campaign,1,neutral
say people convicted felony restraining order buy firearm without going background check,1,neutral
obama economy youth unemployment rate double unemployment rate american,0,neutral
seven people die every day legislature ratifies pain clinic rule approved board medicine department health,1,neutral
infrastructure bill passed house 10 actual infrastructure,0,neutral
61 percent non tea party republican actually agree 'solid evidence earth warming 70 percent tea partiers contrarily say 'no solid evidence earth warming,1,neutral
's law texas let loaded gun get hand child,1,disgust
health care reform affect veteran benefit,1,neutral
mary burke 's leadership commerce department business incentive program major shortcoming 40 percent job n't materialize,1,sadness
almost 95 percent planned parenthood pregnancy service abortion,0,neutral
one 13 black american deprived right vote,0,sadness
big rooftop solar 's plan force nevada family n't solar panel pay higher power bill subsidize rooftop solar,0,neutral
governor kasich delivered largest tax cut nation,0,neutral
say debbie wasserman schultz voted huge subsidy sugar industry well delay cleanup,1,sadness
spend money antacid politics,0,neutral
lawyer working korea nate mcmurray helped send american job asia,0,neutral
suicide second leading cause death among 15 19 year old 25 34 year old missouri,1,sadness
tax lower family 've probably last 50 year,1,neutral
state support local school per pupil decreased least 25 percent past decade,0,neutral
say chuck hagel 's nomination defense secretary publicly celebrated iranian government,0,joy
say lebron james stop paying social security tax beginning second quarter first game season,1,neutral
time left state department economic growth opium production afghanistan infant mortality declined school enrollment rose sevenfold,1,disgust
year 's redistricting open interactive transparent redistricting process tennessee history,0,neutral
new castle county 's unemployment rate almost doubled last two year,1,neutral
issue issue really hard explain understand voted present anytime anyone raise 's always kind explanation,0,neutral
wisconsin 's monthly job report margin error 75 percent way eight first 10 month 2011,0,neutral
say predicts weather better punxsutawney phil,1,neutral
still people uninsured today obama elected president,0,neutral
fail buy health insurance obamacare face threat jail time,0,fear
say one austin city council member randi shade 's biggest contributor lobbyist formula racetrack planned outside austin,0,neutral
look war people n't wear uniform war people vicious violent people idea come allowing ten thousand country,0,anger
say secretary state john kerry senator flew managua met communist dictator daniel ortega accused reagan administration engaging terrorism,1,fear
say scott brown voted president barack obama 70 percent time 2011,1,neutral
overwhelming majority america 's elite university longer require history major take single course american history,1,neutral
say romney called russia enemy,1,disgust
first month fy2022 custom border protection recorded 518k encounter illegal immigrant border 's 137 point fy2021,1,neutral
student athlete graduate student n't student athlete,0,neutral
ted cruz defended chinese company stole invention american inventor,1,anger
say united state actually export gasoline diesel fuel imported 2011 first time since think 1949,1,neutral
say hillary clinton voted virtually every trade agreement cost worker country million job,0,neutral
milwaukee seen uptick violence since 2010 period calm get winter set,1,neutral
say 's 75 reduction opioid dosage medical cannabis user,1,neutral
pfizer admits 's vaccine approved fda,0,sadness
former georgia congressman bob barr voted raise pay,0,neutral
past 10 year austin water rate increased 100 percent highest water cost top 10 city texas,1,neutral
nearly 46 million american n't health insurance coverage today,1,sadness
gov scott walker republican controlled state legislature added 140 million new special interest spending,0,neutral
georgia recovered 60 million lost medicaid fraud,1,neutral
limiting labor negotiation wage part private sector,0,neutral
katy freeway interstate 10 west houston widest freeway world 26 lane including frontage road lane,0,neutral
two third people receive minimum wage female,1,neutral
tennessean hunting fishing license vote,0,neutral
actual construction contract 've awarded date come several hundred million dollar estimate,1,neutral
problem mail ballot lancaster county sign voter fraud,0,neutral
australia closing border hour month,0,neutral
number complaint police officer decreased average mr rick baker mayor 78 14,1,neutral
hb2 threaten federal funding public school title ix according federal court looked similar issue,0,fear
latest evidence republican success since beginning current legislative term state unemployment gone almost 20 adjusted,0,neutral
year federal government revenue year history country,0,neutral
gop came support sen rick scott 's extremist policy rescue america,0,neutral
've added last eight year trillion debt nation 's obligation,1,neutral
n't enough ballot question change outcome harris v mccready race nc congressional district,0,neutral
say scott walker rejected legislation make college loan payment tax deductible result raise tax student,0,anger
texas lost law enforcement officer line duty state america,1,sadness
foo fighter drummer taylor hawkins died covid 19 vaccine,0,sadness
say close 90 percent population growth texas last decade non anglo,1,anger
tennessee 's grocery tax one highest nation,1,disgust
cuyahoga county passed program guarantee college saving account every single child enters kindergarten county first county united state,1,neutral
say republican declared 're going convert medicare program voucher program,1,neutral
boyce gave lobbyist 's wife sensitive job treasurer 's office job boyce admitted made available mosque,0,neutral
say joe heck voted 10 time defund planned parenthood heck opposes woman 's right choose even health risk,1,fear
trillion debt added last four year,1,neutral
war begin 35 16 mig 29 nato intercept destroy russia jet polish air space,0,fear
ohio director job creation mark kvamme clawed back 900 000 company made promise n't keep,0,neutral
miller brewing company neither anheuser busch,1,neutral
vaccine rate among american 65 older 's virtually difference white black hispanic asian american,0,neutral
average state pension including manager 23 000 year 14 000 local government worker,0,neutral
obama voted cut funding american troop battlefield,0,disgust
united state stopped plan build missile defense shield eastern europe gift russia,0,anger
court held deferred action childhood arrival unconstitutional,1,neutral
since passage tax cut real disposable personal income per household increased 205,1,neutral
say photo show kurdish kid turkey 's invasion,0,disgust
say conor lamb ran campaign said nice thing,0,joy
illegal alien costing georgia taxpayer billion dollar every year,0,disgust
say gov scott walker 's proposed budget would sell wisconsin 's state park,0,sadness
president joe biden 's american relief plan lot money school really look say school money going go year 2028,1,neutral
allowing abortion case rape incest never said advocated,0,disgust
effort get american expert china announced coronavirus one person country trump pulled country,0,neutral
say rep renee ellmers voted government shutdown 21 time,0,sadness
say max carry 30 percent evening rush hour commuter traveling downtown sunset banfield freeway,1,neutral
say local texas chamber commerce granted exemption paying property tax headquarter property,1,neutral
donald trump say nato obsolete need get rid nato,0,disgust
foreign company united state significantly higher unionization rate company overall,1,neutral
wisconsin death domestic violence highest 10 year,1,sadness
carnage caused people coming across border,0,disgust
american n't stock,0,neutral
nobody medicaid benefit taken away,0,neutral
half president governor half senator,0,neutral
cuomo ended cash bail crime rate gone roof,0,anger
impending work stoppage unlawful,1,anger
say iranian gen qassem soleimani designated terrorist president obama n't anything,1,anger
say jim renacci ran washington establishment election hypocritically embracing big money special interest fundraiser,0,neutral
30 year world war ii steady reduction debt percentage gross domestic product,1,neutral
iran 12 year old girl raped impregnated father must carry baby term thrown prison life wait sorry 's alabama,0,disgust
say 11 percent nation 's fatal car crash 2009 attributed distracted driving,1,sadness
greece big economy 's size metropolitan miami,1,neutral
20 trillion debt congressional budget office project additional 129 trillion accumulated deficit next 30 year,1,neutral
latino make majority population texas,0,neutral
fauci say 'two america one vaccinated one unvaccinated,0,neutral
dea raided united state senator dems panic,0,fear
say president barack obama lost member house member senate president ever lost modern time,1,sadness
say barack obama n't keep promise immigration bill first year,1,sadness
california wo n't let law enforcement officer like people transfer prisoner ice custody even communicate ice 're release custody people ice looking,0,anger
fact new jersey donor state get 61 cent back every dollar send washington interestingly kentucky get 51 every dollar send washington,1,neutral
president barack obama attended islamic madrassa,0,disgust
stolen election state total minus illegal ballot trafficking number give president trump decisive victory az ga mi pa wi,0,neutral
say 1770 british parliament banned lipstick saying power seduce men marriage classified witchcraft,0,disgust
china biological weapon lab ukraine,0,disgust
vote wisconsin photo id even id expired 've moved,1,neutral
hydrogen sulfide used genocide jew germany,0,disgust
obamacare member congress required purchase health insurance new exchange,1,neutral
say bill gate tweeted think donald trump go history one greatest president like reagan,0,neutral
photo show manila bay rodrigo duterte 's administration,0,neutral
say data center budget policy priority suggest texas budget gap worse new york 's bad california 's quite new jersey level,1,disgust
irs filed 11 000 lien allen west back tax three lien placed home unpaid bill judge ordered west pay 000 past due credit card bill,1,anger
say former nba player rick fox also board kobe bryant,0,neutral
texas 668 democratic hispanic elected official 60 republican party,1,neutral
ohio 's judge compared similar state woefully underpaid,1,disgust
say united state saudi arabia coal,1,neutral
video show jan capitol riot completely peaceful protest,0,anger
tariff paid mostly china way u,0,neutral
doctor mayo clinic misdiagnosing pregnancy trump supporter abortion,0,disgust
587 apiece usa would need bring home 33 billion gold medal pay national debt,1,neutral
state constitution clearly say 's state income tax tennessee,0,neutral
say kurt schrader support obama 's sequester wo n't cut million fund new video game,0,sadness
say senate candidate joni ernst signed pledge protects tax break company ship job overseas,0,neutral
actually required law carry health insurance,0,neutral
say hillary clinton went toe toe russia secretary state new start agreement reduce russia 's nuclear stockpile,0,neutral
sen johnny isakson never proposed voted favor substantial cut federal spending voted many substantial increase federal spending,0,neutral
none 400 million city austin proposes spend road project used add new lane congested roadway,0,neutral
say 's arrested criminal including thousand child predator sex offender previous texas attorney general,1,neutral
13 million worth crop rotted california one willing work job vacated migrant,0,neutral
making public college university tuition free exists country world used exist united state,1,neutral
money made nfl go player,0,neutral
obama administration actually cut democracy egypt fund inside state department,0,disgust
affordable coverage workplace 'm eligible go marketplace 's illegal,0,fear
passed stand ground law said portends horrific event people 's life put situation,1,fear
say josh hawley lawsuit would take away important prescription drug coverage senior medicare end consumer protection aca,1,anger
according independent analysis unfair trade deal resulted loss 64 000 job wisconsin ron johnson favor deal,0,anger
commercial property tax providence second highest country behind detroit,1,neutral
woman photograph margaret sanger founder planned parenthood meeting ku klux klan 1926 silver lake new jersey,0,neutral
've cut budget lieutenant governor 's office half,1,neutral
reddit post show parent admitting forcing child continue transitioning sneaking hormone medication,0,disgust
'm member house representative raised campaign fund last election small contribution less 200,1,neutral
question pas nevada would restrictive gun law nevada dealing transfer firearm california,0,neutral
say police union written contract officer going accountable misconduct,0,neutral
ohio one highest provisional ballot rate country many go uncounted election,1,neutral
ferguson mo 've got three black officer 50 white officer town 67 percent african american,1,neutral
mccain voted repeatedly least six time funding global hiv aid malaria tb fund one 14 senator,0,neutral
say adam hasner 's record includes requesting 92 million earmark,1,neutral
sen kay bailey hutchison 's concession speech came less 20 percent precinct counted,1,neutral
230 000 people unemployment took office unemployment,1,neutral
year blackstone valley mayoral academy became first public school rhode island history 100 percent elementary age student proficient reading state assessment,1,neutral
texas conservative except little bit austin,0,neutral
country 25 percent dropout rate,0,neutral
say hillary clinton wrote believe primary role state teach train raise child parent secondary role,0,neutral
massachusetts passed mandatory health insurance law mortality rate went saved life,1,neutral
say alex jones said victim sandy hook massacre child actor one actually killed,1,fear
steel industry producing much steel united state ever 's need one tenth worker used,0,neutral
one every three student currently today ready college go,0,neutral
many n't know bill young minority leader florida senate republican senator,1,surprise
new jersey loses net minus come state 30 000 student year,1,neutral
florida third regressive tax structure,1,neutral
energy expert state house dems among others warning texas power blackout year,1,fear
texas higher incarceration rate russia iran,1,neutral
paul ryan one less dozen republican congressman voted every bailout come congress,0,neutral
gov bob mcdonnell job lost created southside southwest virginia,0,sadness
annual gross domestic product metro atlanta bigger 28 state union,1,neutral
truth planned parenthood provide mammogram planned parenthood refers woman mammography provider serving middlewoman,1,neutral
citizen vote day voter registration place people walk vote,0,neutral
cnn saying trump win,0,anger
already mosque four block away,1,neutral
rep paul ryan sean duffy reid ribble shutting town hall meeting making constituent pay attend,0,anger
many place like california person vote many time probably heard always like say 'oh 's conspiracy theory conspiracy theory folk million million people,0,neutral
say hillary clinton investigation fbi right,0,sadness
chicago highest employment private sector history city,0,neutral
year west virginia produced americorps member state,1,neutral
poor people pay case 25 percent income water,1,disgust
say bernie sander similar view trade,1,neutral
say gov tony evers removed american flag capitol building,0,neutral
say kid ate 16 pack sugar,1,neutral
rick perry ended full day pre 100 000 texas child,0,neutral
medium widely overlooked comment made former president bill clinton hillary clinton terrible concussion took six month recover,0,fear
demand public transportation reaching record level wisconsin,0,neutral
texas second highest high school graduation rate country highest graduation rate african american hispanic,1,neutral
john mccain took drug industry,1,disgust
hacker broke virginia 's prescription drug database obtained million patient record total nearly 36 million prescription,1,neutral
unemployment city st petersburg state average,1,sadness
say photo hunter biden 's laptop show paul pelosi jr abusing girl drug,0,disgust
say president obama using executive action impose gun control nation targeting top selling rifle country ban one used assault rifle bullet,0,anger
gross income tax receipt exceeding administration 's projection fiscal year prior sandy,1,neutral
say gov tony evers lt gov mandela barnes police shooting jacob blake call peace encourage calm,0,sadness
would gain revenue cutting personal income tax rate half ending tax break,1,joy
every time raise minimum wage number jobless people increase,0,neutral
wisconsin 's archaic abortion ban older 20 state,1,neutral
say joe biden barack obama directly participated plot sealteam6 murdered arranged massive cash deal part cover,0,anger
since 1990 inflation adjusted dollar per student funding florida state university system general revenue dropped 000,1,neutral
denies said obama campaign played race card,0,neutral
say jim frishe wanted tax u tax accountant,1,neutral
eliminating public intervenor 's office first one fire kathleen falk,0,neutral
pay 165 month student loan next 13 year pay bernie sander plan student loan forgiven 'll pay 450 extra tax month next 25 year make sure 'll student debt,0,neutral
since 2014 25 reduction crime community texas mexico border,1,neutral
say leave object sun avoid contracting coronavirus,0,neutral
thanks part strategy american energy united state generates natural gas anybody,1,neutral
financial penalty imposed gay couple cost u 300 000 compared married heterosexual couple lifetime,1,sadness
say duration recession single person government middle management lost job taken pay cut,0,neutral
second presidential impeachment donald trump bipartisan impeachment american history,1,fear
say vote nancy pelosi speaker house,0,sadness
wisconsin 's driver license identification id card currently secure nation,1,neutral
know block island wind farm would mean 40 est drop bi electric rate,1,surprise
president trump strongest support percentage wise state state nation west virginia almost 43 percentage point 's carrying close 60 percent approval,1,neutral
wisconsin gov scott walker 's budget okay disposing unclaimed pound dog university research facility,0,neutral
thanks president trump republican past year july manufacturing added 327 000 job 12 month period since april 1995 figure added healthy 345 000 position,1,neutral
say first time ever texas lawmaker funding student population growth,1,neutral
say plan raise car registration 56 would still leave virginia fee 's equal lower state,0,neutral
united state longer top nation globe infrastructure fallen 15th,1,neutral
barack obama accepted 200 000 executive employee oil company,1,joy
say gov rick perry 's administration proposed ending immunization 113 000 kid,0,sadness
social medium post stated remember kamala telling joe debate whatever chinese tell gave son billion dollar,0,neutral
say mahatma gandhi said first ignore laugh fight win,0,neutral
del ben chafin took money away southwest virginia school voting build politician 's palace,0,anger
're highest taxed nation world,0,disgust
hillary child alien 2014 send back,1,neutral
virginia voter turned away polling location told already requested absentee ballot n't,0,neutral
