clean_text,label,emotion
people wearing blue ribbon emmy award make bold statement,1,neutral
kate middleton hope preserve 'appreciating childhood new victorian photography exhibit,1,neutral
inside miranda lambert 's tumultuous journey find lasting love,1,anger
candice swanepoel reveals gender baby sweet instagram video,1,joy
mila kunis say ex macaulay culkin n't friendly could,0,neutral
u report jennifer aniston pregnant brad pitt 's baby,0,joy
report ben affleck jennifer garner settle divorce,0,joy
olivia munn continue speak metoo movement 'even cost career,1,fear
romney make pitch hoping close deal election rocky mountain news,1,neutral
trump 's top scientist pick scientist dumb regular people think dinosaur existed earth getting warmer,0,disgust
famous woman waxing shaving,0,neutral
's exactly missed mission impossible fallout,1,neutral
portia de rossi confirmed 'brad pitt jennifer aniston n't seen,0,neutral
kirsten dunst confirmed 's pregnant beautiful way,1,joy
please like review funniest season yet much n't,1,joy
nikki bella john cena officially back together six week calling wedding,1,joy
demi moore ed helm dating new detail rumored secret relationship,0,neutral
watch luis fonsi 's daughter mikaela dancing hit song 'echame la culpa,1,joy
blend eye shadow like pro,1,neutral
pippa middleton james matthew honeymoon paradise island pacific,1,joy
social security trustee report,1,neutral
brad pitt angelina jolie 'at odds custody kid,0,fear
paris jackson report come bisexual everyone known year news,0,neutral
jennifer lopez speaks future marriage real impact positive mantra,0,neutral
meghan markle prince harry 'infatuated 'still getting know,0,anger
n't first time luann de lesseps tom d'agostino broken,1,sadness
list high school musical character,1,neutral
kim kardashian claim kendall never part taylor swift 's squad,1,neutral
demi lovato 's sexuality fast fact need know,0,neutral
kate middleton pregnancy duchess cambridge ruling third baby meghan markle,0,surprise
developer pleads contest skirting rule mansion,1,neutral
karrueche tran reveals got restraining order chris brown,1,neutral
meghan markle receives support queen elizabeth family drama report say,0,joy
rose mcgowan say plead guilty drug possession,1,sadness
watch anna faris fall love fake husband new overboard trailer,1,sadness
kate hudson 's inch golden globe haircut came,0,neutral
rose leslie made kit harington wear jon snow costume,1,neutral
jennifer lopez hired private investigator tail alex rodriguez,0,neutral
kardashian decade sex tape led billion dollar brand,1,neutral
ryan seacrest forced talk julianne hough wedding live,0,sadness
khloe kardashian give revenge body participant love advice need demand better relationship,1,neutral
happened ronnie jen social medium 'jersey shore dissects big issue,1,sadness
billboard music award nomination see full list,0,neutral
brie bella 's boob getting way training,1,disgust
voice war inside blake shelton kelly clarkson 's explosive backstage feud,0,neutral
singer tina turner thanksgiving first time year thankful president god bless supporter support tina american president donald tru,0,joy
bruce jenner publicly transformed caitlyn true story variety,0,neutral
empty seat royal wedding n't princess diana,1,sadness
show binge watch thanksgiving holiday photo,1,neutral
savanna guthrie hoda kotb reveal side story side story matt lauer firing,0,sadness
natalie portman cut diet n't breakout year,1,sadness
hawaii five bos speaks daniel dae kim grace park controversy,1,anger
rihanna 's denim dress versatile think,1,neutral
kim kardashian 's bizarre defence 'free thinking kanye west amid desperate attempt fix damage caused donald trump support,0,fear
miley cyrus thanks mike made fourth anniversary 'we ca n't stop,0,neutral
kim zolciak biermann sound fired rhoa cast member scandal real housewife,1,sadness
first photo six pack mom sarah stage 's newborn baby,1,joy
britney spear sex tape,0,neutral
one love manchester,0,sadness
gigi hadid extremely jealous sister bella booking major fashion gig,0,surprise
robert pattinson spotted sneaking sienna miller 's nyc pad,0,surprise
u report jennifer aniston pregnant brad pitt 's baby,0,joy
urban institutebrookings institution tax policy center,1,neutral
selena gomez n't worried justin bieber hailey baldwin 's engagement n't worry,0,fear
's matt damon said metoo backlash followed,1,anger
princess kate bulimia battle shocking new photo,0,fear
brad pitt angelina jolie still working divorce shiloh ignores paris,0,sadness
somali immigrant crash car ohio family home killing infant home,0,fear
celebrity react donald trump 's state union speech,0,joy
twin peak got lost found way back,1,neutral
jennifer garner see stunning oscar style transformation year later,1,joy
easter egg taylor swift 's new video ready,1,neutral
cnn 's lemon bill o'reilly 's criticism black community n't go far enough,1,neutral
miley cyrus 's mom n't get everyone want daughter marry liam hemsworth,0,surprise
takeaway michelle wolf 's hugely controversial speech white house correspondent dinner,1,neutral
'american idol reboot 's rating give insight show 's future,0,neutral
press release rep barton democrat stimulus waste money abuse people lead unintended consequence,1,neutral
sophia bush get real leaving 'chicago pd 'it dream job miserable,1,fear
selena gomez really want kiss justin bieber new year 's eve,0,sadness
angelina jolie 's secret shopping fix target source say,0,neutral
kate hudson reveals pregnant third child,0,sadness
panicked family flee cinema trailer 'scariest horror film year hereditary shown peter rabbit screening,1,fear
grab as twist nipple happens abbey cast reveals,1,neutral
kim kardashian kanye west actually heading divorce investigation,0,neutral
outfit meghan markle wore suit give serious workwear inspiration,1,joy
elizabeth smart reveals kidnap horror story memoir,1,fear
nina agdal posting naked instagram photo tempt leonardo dicaprio fake news,0,anger
naya rivera refiles divorce ryan dorsey domestic battery arrest,1,sadness
anne hathaway preemptively shut body shamers instagram post weight gain,1,fear
brad pitt life large,0,surprise
celebrity react president donald trump removing protection transgender student,0,anger
literary character frequently portrayed screen,1,neutral
u milo ventimiglia call jack 's death soul crushing event,1,fear
pink channing tatum dance drag new 'beautiful trauma music video,1,joy
eric johnson divorcing jessica simpson drinking despite claim,0,sadness
world 's expensive wedding dress,1,surprise
day way emma robert prof orange really new black,1,neutral
chris martin planning play argentina global citizen campaign,0,joy
olivia wilde tiffany haddish appear drake 's new music video,1,neutral
johnny depp 's rolling stone interview show 's pr liability variety,0,neutral
celebs rip 'racist 'cowardly trump pardoning former arizona sheriff joe arpaio,0,anger
new man line dion 's life,1,neutral
tour gorgeous new house fit famous cast celebrity big brother,1,joy
kylie jenner made contestant cry khlo kardashian 's new reality show,0,sadness
order succession british throne,0,neutral
news exclusive behati prinsloo describes motherhood raising baby dusty `` heaven '' met gala,1,joy
every swan featured town country magazine,1,neutral
serena williams pen emotional note unborn baby,1,sadness
committee judiciary,1,neutral
jennifer lopez set new bar modern multi hyphenates,0,neutral
mark wahlberg teased mel gibson weight offered become personal trainer,0,neutral
katy perry jet london watch orlando bloom perform play,1,neutral
nelly speaks rape completely innocent,1,disgust
miley cyrus easter photo shoot prof 's queen holiday celebration,1,joy
park recreation revival amy poehler confirms cast would episode,1,neutral
justin bieber cover entire torso one giant tattoo fan freaking,1,neutral
camilla 's evil plot exposed,0,anger
jennifer aniston courteney cox new tv show together report,0,joy
jcpenney team tracee elli ross sparkling holiday capsule collection,1,neutral
jenna dewan tatum still step boot thing know,1,neutral
kylie jenner positively glowing despite battling morning sickness pregnancy,0,sadness
simone bile fully shut hater called sucky role model,1,sadness
kylie jenner travis scott love making work kardashian curse,1,neutral
kate leo year friendship 's kept everyone guessing,0,neutral
cardi offset 's relationship timeline,1,neutral
hotel meghan markle prince harry stay night royal wedding,1,neutral
money move cardi empire got built,1,neutral
katy perry gift john mayer sent straight savage,0,neutral
jennifer lopez alex rodriguez heat dance floor dominican republic,1,neutral
washington state legislature vote change name george washington owned slave,0,neutral
rihanna rumored broken billionaire boyfriend 'gets tired men,0,sadness
britney young carmen 's growth glow season,1,neutral
bella hadid walking year 's victoria 's secret fashion show,0,neutral
next great female movie tv star,0,neutral
breaking malia obama suspended racist anti white attack go viral,0,anger
trump label news medium 'enemy american people,0,disgust
meghan markle wo n't maid honor royal wedding,1,sadness
alanis morissette pixie cut thought oughta know,1,surprise
kim kardashian want know n't cocaine saw snapchat,0,neutral
kim richards running time complete court ordered community service,1,sadness
zayn malik gigi hadid celebrating two year anniversary love alive,1,joy
colombian singer maluma spark rumour inappropriate relationship aunt,1,disgust
new fool horse video watch david beckham poke fun glass gag sport relief,0,joy
hidden message might missed taylor swift 's end game video,1,neutral
celebrity currently jail,1,sadness
sofia vergara nude say ca n't perfect naked issue woman 's health magazine,1,sadness
mak chmerkovskiy return dancing star skipping last week due 'personal issue,0,sadness
khloe kardashian tristan thompson reportedly moving back la together,0,sadness
tea time meghan markle 's mom doria meet queen first time ahead royal wedding,1,joy
outlet flip flop camilla parker bowles think meghan markle,0,neutral
zayn malik gigi hadid confirm split two year,0,sadness
zayn malik admits never really spoke harry style one direction,0,neutral
saudi arabia behead school girl male friend without parent guardian,0,sadness
roseanne revival 's big finale problem abc bos reveals key detail,1,sadness
badass moment kingsman golden circle trailer gifs,1,neutral
angelina take child renaissance pleasure fair california despite report miserable fair married biography,0,sadness
kim cattrall tell fan 's time move regarding sex city franchise,1,neutral
stunning democrat boo groan trump mention murder victim m killer video,0,anger
peter strzok fbi agent texting scandal testify congress,0,fear
kate middleton flirt tennis player dominic thiem wimbledon despite report,0,neutral
take look inside mariah carey 's enviable closet,1,neutral
donald trump issue executive order ban facebook across u,0,fear
fiery side celebrity fandom beyhive little monster really attack,1,fear
nicole kidman prof clap normally seal like oscar mishap internet hysteric,1,neutral
upon time cast pay emotional tribute manchester terror attack victim georgina callander,0,fear
travis scott hang blac chyna flirty night kylie worried,0,fear
justin timberlake jimmy fallon celebrate memorial day weekend tandem bike see video,1,joy
kourtney kardashian going knife transform voice,0,fear
ben affleck lindsay shookus step coffee date,1,neutral
outrage survivor outing n't told anyone 're transgender,1,anger
big bang theory end run season cbs epic close,1,sadness
zayn malik shower girlfriend gigi hadid love birthday,1,joy
chilling new thing charles manson detailed new biography,1,fear
laura dern reese witherspoon prove 're close ever feuding,0,neutral
miley cyrus plan leave country era trump,0,sadness
michael jordan say la n't best place date 's technically single,1,neutral
kim rip bad dad kanye step parenting game,0,neutral
best memorial day sale,1,neutral
miranda lambert blake shelton affair ex claim,0,sadness
demi lovato surprise aspiring musician hour free studio time sidomex entertainment,1,joy
chris pratt generation award recipient,1,surprise
brad pitt 's mom begging get back jennifer aniston gossip cop report,0,sadness
corey gamble dump dump kris jenner despite report,0,sadness
man wood,1,neutral
kelly ripa ryan seacrest get last laugh megyn kelly,0,neutral
lamar odom turn massive payday appear celebrity big brother spill secret kardashians,0,sadness
trump 's latest order ban majority transgender troop serving,0,anger
gwen stefani blake shelton put baby wedding plan hold,0,neutral
bachelor beauty secret former contestant kinda blow mind,1,surprise
actress sandra bullock hillary clinton n't like president leave never come back one jealous woman l nothing compare trump hope arrest,0,neutral
jennifer aniston reportedly filled 'furious rage news emma stone justin theroux 's rumored romance,0,anger
blake shelton gwen stefani marriage plan crisis crisis,0,fear
taylor swift kicking kanye kim 're,0,neutral
kris jenner caught getting flirty grimy scott disick,0,disgust
angelina jolie 's reported new boyfriend 'd expect angelina jolie,0,surprise
democratic debate cleveland,1,fear
wasting away selena gomez mission size zero,0,surprise
'pretty little liar fan theory keep tonight,1,neutral
blake shelton people 's sexiest man alive,0,neutral
baywatch movie review 're great,1,sadness
athenaeum,0,neutral
detail cardi 's canceled performance 'll back tour,1,sadness
want baby kristen reveals family plan rob week cheated,0,sadness
queen prince philip queen take train sandringham christmas,1,neutral
selena gomez justin bieber huge fight dinner date,0,anger
brad pitt rent summer love nest brainy beauty,0,neutral
adam rippon jussi pekka kajaala dating meeting tinder,1,sadness
best new beauty product week,1,neutral
real reason angelina jolie n't big screen recently,1,sadness
paris fashion week attendee blame kim kardashian robbery,0,fear
female first forum,0,neutral
big photo big rock allison williams debut dazzling engagement ring,0,joy
angelina jolie ca n't travel kid amid brad pitt divorce,0,sadness
karlie kloss came paris slay see,1,neutral
isi lay arm katy perry 's impassioned plea like co exist,0,anger
'queer eye guy bunch friendship exercise 's honestly tender,1,sadness
kate middleton forbids prince william solo travel following recent flirty ski trip,0,sadness
patton oswalt open arrest golden state killer suspect subject late wife 's book,1,sadness
kylie jenner say 's never drink ca n't wait turn,1,neutral
blake shelton shopping diamond ring gwen stefani proposing valentine 's day made,0,sadness
confused bella hadid kendall jenner topless thong bikini photo,1,sadness
bristol palin meyer shared update life wife mom three new post fan,1,neutral
maisie williams bridesmaid sophie turner joe jonas 's wedding,1,joy
kim kardashian kanye west trial separation sleeping separate room report,0,neutral
kate middleton cry help admits feeling lonely isolated,0,sadness
simpson 's net worth face parole hearing,1,neutral
breaking fox sport cancel nfl broadcast player respect flag,0,sadness
kate middleton spoil prince william birthday,0,joy
new report jennifer garner ben affleck spark debate,0,neutral
meghan markle prince harry made quot soul pact quot promising love quot eternity quot,0,surprise
see couple red carpet oscar,1,joy
get oscar look less jennifer garner emma stone parker xl,1,neutral
million herpes lawsuit usher dismissed,0,sadness
david blaine sews mouth shut literally front jimmy fallon priyanka chopra,1,disgust
miranda lambert refuse talk politics 'you ca n't win anyway,0,sadness
star born bradley cooper lady gaga rapturous remake variety,0,neutral
willow royal massage table,1,neutral
lady gaga 's super bowl performance attack donald trump halftime show,0,fear
nasa confirms day darkness coming month,0,neutral
good news chrissy teigen judge rule trump violates first amendment blocking twitter follower,0,neutral
ivanka trump u weekly cover meme,0,neutral
busted obama holding secret meeting overtake white house,0,anger
rod stewart penny lancaster donate proceeds wedding vow renewal picture grenfell tower fire fund,1,joy
terry crew slam former national enquirer editor accused sexual assault threatening false story,0,fear
price hhs secretary private plane scandal,0,sadness
angelina jolie take break nasty brad pitt divorce fight plead syrian refugee,0,sadness
kashing kim kanye go insane shopping spree signing million dollar deal,0,joy
ryan murphy talk new show ricky martin ca n't care much donatella think,1,neutral
's one thing pregnancy cameran eubanks embraced yet,1,disgust
kate middleton joke think third baby world freak,0,neutral
u sterling brown tell u randall 'had seek tess visit 'her,1,neutral
kim kardashian share adorable home video north west 's birthday,1,joy
katie holmes jamie foxx tired living lie 're coming,0,sadness
katie holmes trapped let go jamie foxx true,0,fear
alicia vikander swedish talent show eight year old,1,joy
'friends cast adorable backstage ritual lisa kudrow pregnant,0,disgust
guide increasingly intense brad pitt angelina jolie divorce drama,0,sadness
kendall jenner cry pepsi ad backlash keeping kardashians premiere,1,anger
zoe saldana wearing leather pant,1,neutral
trouser tight prince william 's shock confession prince harry,0,surprise
miranda lambert anderson east split year together report,0,sadness
drug blame erin moran 's death,0,sadness
wear matte lipstick without looking like 're,1,neutral
first spoiler free reaction review avenger infinity war,1,neutral
angelina jolie meet new man,0,joy
ice removal key goal democrat election,0,neutral
victoria beckham reportedly furious david 's female friend,0,anger
alabama secretary state,0,neutral
peeling back layer prince harry meghan markle obsession,1,sadness
kim kardashian sex tape flag glastonbury particularly nasty attack,0,disgust
celebrity think red carpet bet award vote people 's choice award,1,neutral
rumor billie lourd play goldie hawn movie also rumored kate hudson play part find married biography,0,surprise
amal clooney pregnant fan spot maybe baby bump new pic,0,neutral
season arrangement fan want drama continue,1,sadness
chrissy teigen celebrates surprise baby shower besties,1,joy
channing tatum jenna dewan split year marriage,0,sadness
carrie underwood needed stitch fall,1,sadness
married first sight star stunned wife reveals pregnant,1,surprise
everything new coming netflix november,1,neutral
angelina jolie longer saint set,1,neutral
daria rebooted big twist,1,neutral
's ryan reynolds always favorite canadian,1,neutral
gwyneth paltrow reportedly signing prenup protect kid,1,sadness
night jamie foxx katie holmes grab dinner big apple split rumor,0,joy
breaking johnny depp taken custody secret service,0,fear
baby board boy band member reporting daddy duty,1,neutral
rita os feeling vibe way day,1,neutral
kylie jenner spill insecurity plastic surgery obsessed making lip bigger,0,neutral
biggest celebrity feud,0,disgust
childhood hell lost boy,1,disgust
jennifer aniston pregnant miracle baby age exclusive,0,joy
kim ready baby bff say kid make sense surrogate hired,1,disgust
brad pitt dating star 's family urging get back jen aniston say radar jen reigniting romance,0,sadness
brad pitt sienna miller could n't keep hand glastonbury,0,sadness
meaty bet,1,disgust
'come back barack oral history 'snl chance rapper 's emmy nominated parody,1,neutral
kim kardashian undergone butt breast reduction surgery,0,neutral
ben 's medical nightmare affleck could face brain damage scary motorcycle crash,0,fear
larry david wreaks hilarious havoc interview matt lauer,1,joy
bode miller,1,neutral
gwen stefani pregnant blake shelton 's baby friend think 's got secret,0,surprise
america 's got talent winner landau eugene murphy jr arrested alleged domestic violence,1,sadness
mindy kaling talk single mom dartmouth commencement speech,1,sadness
'grey 's anatomy star ellen pompeo went barely paying rent earning million year,1,surprise
inside kate middleton 's domestic life house facial roast chicken recipe,1,neutral
reese witherspoon lookalike daughter ava phillippe twin 'home premiere,1,joy
's salma hayek loved seat oscar,1,joy
ariel winter slam tabloid report give boyfriend allowance,0,joy
jennifer aniston never mum,0,sadness
met gala red carpet live celebrity dress fashion,1,joy
's ihop changing name ihob,1,neutral
janet jackson called police ex wissam al mana check welfare baby son,0,sadness
impeachment talk becomes cynical game,1,joy
donald trump sign visa free travel policy ghana,0,neutral
sexual assault allegation kevin spacey span decade 's know,1,neutral
story beyonce kim kardashian tense relationship tense relationship madeup,0,sadness
nicole kidman get honest best beauty look,0,neutral
meghan markle hit explosive revelation sister samantha ready tell,0,neutral
text th department defense emergency supplemental appropriation recovery response passed congress version,1,neutral
kim kardashian get hysterical lost earring kardashians,0,sadness
mila kunis epitome hollywood glam best dressed star,1,neutral
camila cabello nick jonas reunited grammys funny af,1,surprise
scott disick sofia richie break get back together inside roller coaster romance,1,sadness
jesse williams ordered pay month child support,1,neutral
breaking meryl streep got fired major project lying trump,0,sadness
selena gomez 've never problem drinking,0,sadness
kelly rowland 's skin care expert reveals solution dry skin,1,neutral
la vega shooting celebrity call gun control rolling stone,0,fear
'talk press 're meghan markle prince harry 's shock warning friend,0,fear
pink lady gaga working together write anti madonna anthem,0,neutral
harry style james corden ca n't stop singing dancing inappropriate time watch,1,neutral
aly raisman represents survivor sexual abuse glamour woman year award,1,disgust
demi lovato throw shade kathy griffin,1,anger
logan paul chloe bennet finally confirmed relationship kiss,1,joy
kerry washington launch eye shadow palette everyday makeup,1,neutral
joel kinnaman spent day buck naked covered goo sci fi series altered carbon,1,disgust
prince harry meghan markle living together long distance long time,0,neutral
malika haqq ronnie magro ortiz agree broke major issue,1,neutral
kim kardashian supporting khloe 's decision involve caitlyn child 's life fake news debunked,0,anger
jennifer garner josh duhamel secretly dating month,0,neutral
justin bieber upset weeknd dating ex yovanna ventura truth,0,sadness
naomi watt 'good day bad day liev schreiber split,1,sadness
paula abdul 's injury spark eating disorder relapse worry,0,fear
cynthia bailey underwent surgery remove lipoma tumor scared,1,fear
chainsmokers halsey pay tribute avicii billboard music award,1,joy
john lithgow win emmy supporting actor drama series,1,joy
kathie lee gifford grandchild 's rush kid baby,1,neutral
brad pitt angelina jolie split empire,0,sadness
sofia richie 's dad lionel threatened cut n't dump cheating scott disick,0,fear
weeknd would love baby selena gomez especially little girl,0,sadness
kim kardashian get stretch mark removed 'it n't hurt badly,0,sadness
christian bale fattened play dick cheney vice movie,1,anger
foundation make ever,1,neutral
robert pattinson new relationship report,0,joy
prince harry drove mile pick meghan markle pippa middleton 's wedding,1,neutral
obameter introduce comprehensive immigration bill first year,1,neutral
lindsay lohan convert islam,0,neutral
courteney cox justin theroux want leave jennifer aniston brangelina split,0,sadness
millie bobby brown kardashians others biggest fan,1,neutral
tom petty dead celebrity react social medium variety,0,neutral
hollywood mourns death legendary harry dean stanton definition cool,0,sadness
beyonc 's grammy award look inspired black panther,1,neutral
know diving netflix 's 'casting jonbenet,1,neutral
adorable dream kardashian make christmas card debut day nine countdown,1,joy
selena gomez share photo date night weeknd,1,neutral
jim carrey belief apple face id lead totalitarian new world order,0,neutral
kardashian family banned oscar party drunk messy behavior report,0,sadness
harry style taylor swift back together power couple pop past dating,0,neutral
scheana marie get candid past relationship n't really true self,1,neutral
katie couric open matt lauer 's firing today show,0,sadness
john travolta allow daughter ella become actress,0,fear
david cassidy cut estranged daughter katie completely leaf son beau,1,sadness
watch real housewife dallas season episode online,1,neutral
frill hem pant gigi hadid make look easy,1,neutral
picture people speculating rihanna pregnancy,0,neutral
miley cyrus bride baby board,0,joy
transcript second mccain obama debate,1,neutral
report kim kardashian kanye west hire sex coach save marriage,0,sadness
's whattup rumor selena gomez justin theroux dating,0,neutral
jason aldean wife brittany return la vega visit shooting victim 'we never forget,1,sadness
lena dunham cancel lenny tour 'm greatest amount physical pain ever experienced,1,sadness
live kelly ryan,0,neutral
entertainment extravaganza ariel winter 's pink crossbody bag make everything look fun,1,joy
supreme court decline hear appeal 'making murderer subject,1,sadness
shia labeouf spending month living alone finland cabin,1,sadness
caitlyn jenner may 'de transition back bruce suffering sex change regret,0,sadness
anna faris jimmy kimmel talk son health struggle 'your world completely shift,1,sadness
